Бумага,ISIN,тип,"Вес, %","YTM, %","Дюрация, лет",Ликвидность
"Sber CIB, CIB-СО-548",RU000A106JR6,Корпоратив,10.0,32.178,2.506849315068493,4.0
"РЖД, 001P-41R",RU000A10B495,Корпоратив,10.0,15.684,2.3881369863013697,7.0
"Россети, 001P-04R",RU000A101CL5,Корпоратив,10.0,15.309,3.359835616438356,7.0
"Банк ВТБ (ПАО), Б-1-245",RU000A103U02,Корпоратив,10.0,25.346,0.704082191780822,4.0
"АФК Система, 001P-11",RU000A100N12,Корпоратив,10.0,20.592,1.3153424657534247,7.0
"МТС, 002Р-07",RU000A10B1N3,Корпоратив,9.999999999999995,16.077,0.9318082191780822,7.0
"МБЭС, 002P-04",RU000A10CC99,Корпоратив,3.2831849436569387,15.624,2.0453698630136983,7.0
"Атомэнергопром, 001P-10",RU000A10DYG9,Корпоратив,1.7168150563430666,15.209,3.667041095890411,7.0
"Газпром Нефть, 003P-02R",RU000A1017J5,Корпоратив,0.0,15.029,3.2174246575342464,7.0
"Роснефть, 002P-04",RU000A0ZYT40,Корпоратив,0.0,15.364,0.929890410958904,7.0
"Россия, 26245 (ОФЗ-ПД, SU26245RMFS9)",RU000A108EG6,ОФЗ,15.0,14.755,5.420849315068493,8.0
"Россия, 26241 (ОФЗ-ПД, SU26241RMFS8)",RU000A105FZ9,ОФЗ,14.999999999999996,14.673,4.766191780821918,8.0
"Россия, 26228 (ОФЗ-ПД, SU26228RMFS5)",RU000A100A82,ОФЗ,4.999999999999994,14.355,3.424575342465753,8.0
"Россия, 26219 (ОФЗ-ПД, SU26219RMFS4)",RU000A0JWM07,ОФЗ,0.0,14.174,0.5316164383561643,8.0
"Россия, 26226 (ОФЗ-ПД, SU26226RMFS9)",RU000A0ZZYW2,ОФЗ,0.0,14.296,0.5886849315068493,8.0
"Россия, 26224 (ОФЗ-ПД, SU26224RMFS4)",RU000A0ZYUA9,ОФЗ,0.0,14.167,2.863753424657534,8.0
